main_sound,level,hanja,meaning,radical,strokes,total_strokes
량,특급Ⅱ,凉,"[[['서늘할[涼]'], ['량']]]",冫,8,10
려,특급Ⅱ,藜,"[[['명아주'], ['려']]]",艸,15,19
려,특급Ⅱ,驢,"[[['나귀'], ['려']]]",馬,16,26
려,특급Ⅱ,儷,"[[['짝'], ['려']]]",人,19,21
려,특급Ⅱ,櫚,"[[['종려나무'], ['려']]]",木,15,19
려,특급Ⅱ,蠣,"[[['굴'], ['려']]]",虫,15,21
려,특급Ⅱ,犁,"[[['쟁기'], ['려']], [['얼룩소'], ['리']]]",牛,8,12
력,특급Ⅱ,轢,"[[['차에치일', '삐걱거릴'], ['력']]]",車,15,22
력,특급Ⅱ,靂,"[[['벼락'], ['력']]]",雨,16,24
련,특급Ⅱ,攣,"[[['손발굽을'], ['련']]]",手,19,23
련,특급Ⅱ,璉,"[[['호련'], ['련']]]",玉,11,15
렬,특급Ⅱ,冽,"[[['찰'], ['렬']]]",冫,6,8
렬,특급Ⅱ,洌,"[[['맑을'], ['렬']]]",水,6,9
령,특급Ⅱ,聆,"[[['들을'], ['령']]]",耳,5,11
령,특급Ⅱ,伶,"[[['악공', '영리할'], ['령']]]",人,5,7
령,특급Ⅱ,怜,"[[['영리할'], ['령']]]",心,5,8
령,특급Ⅱ,羚,"[[['영양'], ['령']]]",羊,5,11
령,특급Ⅱ,岺,"[[['산깊을'], ['령']]]",山,5,8
령,특급Ⅱ,笭,"[[['다래끼'], ['령']]]",竹,5,11
령,특급Ⅱ,翎,"[[['깃'], ['령']]]",羽,5,11
례,특급Ⅱ,澧,"[[['물이름'], ['례']]]",水,13,16
로,특급Ⅱ,瀘,"[[['물이름'], ['로']]]",水,16,19
로,특급Ⅱ,潞,"[[['물이름'], ['로']]]",水,13,16
로,특급Ⅱ,櫓,"[[['노', '방패'], ['로']]]",木,15,19
로,특급Ⅱ,輅,"[[['수레'], ['로']]]",車,6,13
로,특급Ⅱ,鹵,"[[['개펄'], ['로']]]",鹵,0,11
록,특급Ⅱ,菉,"[[['조개풀'], ['록']]]",艸,8,12
롱,특급Ⅱ,瀧,"[[['젖을'], ['롱']]]",水,16,19
롱,특급Ⅱ,朧,"[[['몽롱할'], ['롱']]]",月,16,20
뢰,특급Ⅱ,瀨,"[[['여울'], ['뢰']]]",水,16,19
뢰,특급Ⅱ,賚,"[[['줄[賜]'], ['뢰']]]",貝,8,15
료,특급Ⅱ,蓼,"[[['여뀌'], ['료']]]",艸,11,15
료,특급Ⅱ,廖,"[[['공허할'], ['료']]]",广,11,14
루,특급Ⅱ,褸,"[[['남루할'], ['루']]]",衣,11,16
루,특급Ⅱ,蔞,"[[['물쑥'], ['루']]]",艸,11,15
루,특급Ⅱ,瘻,"[[['부스럼'], ['루']]]",疒,11,16
루,특급Ⅱ,縷,"[[['실오리'], ['루']]]",糸,11,17
루,특급Ⅱ,鏤,"[[['새길'], ['루']]]",金,11,19
루,특급Ⅱ,婁,"[[['끌'], ['루']]]",女,8,11
류,특급Ⅱ,旒,"[[['깃발'], ['류']]]",方,9,13
류,특급Ⅱ,榴,"[[['석류'], ['류']]]",木,10,14
류,특급Ⅱ,瀏,"[[['맑을'], ['류']]]",水,15,18
류,특급Ⅱ,瑠,"[[['유리'], ['류']]]",玉,10,14
륜,특급Ⅱ,侖,"[[['산이름', '차례'], ['륜']]]",人,6,8
리,특급Ⅱ,狸,"[[['삵'], ['리']]]",犬,7,10
리,특급Ⅱ,羸,"[[['야윌'], ['리']]]",羊,13,19
리,특급Ⅱ,莉,"[[['말리'], ['리']]]",艸,7,11
리,특급Ⅱ,厘,"[[['다스릴[釐]'], ['리']], [['가게[廛]'], ['전']]]",厂,7,9
리,특급Ⅱ,唎,"[[['소리'], ['리']]]",口,7,10
리,특급Ⅱ,鯉,"[[['잉어'], ['리']]]",魚,7,18
리,특급Ⅱ,浬,"[[['해리'], ['리']]]",水,7,10
리,특급Ⅱ,璃,"[[['유리'], ['리']]]",玉,11,15
린,특급Ⅱ,璘,"[[['옥빛'], ['린']]]",玉,12,16
린,특급Ⅱ,藺,"[[['골풀'], ['린']]]",艸,16,20
린,특급Ⅱ,潾,"[[['맑을'], ['린']]]",水,12,15
림,특급Ⅱ,霖,"[[['장마'], ['림']]]",雨,8,16
림,특급Ⅱ,琳,"[[['아름다운옥'], ['림']]]",玉,8,12
립,특급Ⅱ,砬,"[[['돌소리'], ['립']]]",石,5,10
마,특급Ⅱ,碼,"[[['마노'], ['마']]]",石,10,15
마,특급Ⅱ,瑪,"[[['마노'], ['마']]]",玉,10,14
막,특급Ⅱ,邈,"[[['멀'], ['막']]]",辵,14,18
만,특급Ⅱ,万,"[[['일만[萬]'], ['만']]]",一,2,3
만,특급Ⅱ,巒,"[[['멧부리'], ['만']]]",山,19,22
만,특급Ⅱ,曼,"[[['길[長]'], ['만']]]",曰,7,11
말,특급Ⅱ,唜,"[[['끝'], ['말']]]",口,7,10
말,특급Ⅱ,茉,"[[['말리'], ['말']]]",艸,5,9
망,특급Ⅱ,莽,"[[['풀'], ['망']]]",艸,8,12
망,특급Ⅱ,邙,"[[['북망산'], ['망']]]",邑,3,6
망,특급Ⅱ,輞,"[[['바퀴테'], ['망']]]",車,8,15
맥,특급Ⅱ,驀,"[[['뛰어넘을'], ['맥']]]",馬,11,21
맥,특급Ⅱ,陌,"[[['밭두둑길'], ['맥']]]",阜,6,9
맹,특급Ⅱ,氓,"[[['백성'], ['맹']]]",氏,4,8
멱,특급Ⅱ,冪,"[[['덮을'], ['멱']]]",冖,14,16
면,특급Ⅱ,麵,"[[['국수[麪]'], ['면']]]",麥,9,20
명,특급Ⅱ,椧,"[[['홈통'], ['명']]]",木,8,12
명,특급Ⅱ,瞑,"[[['눈감을'], ['명']]]",目,10,15
명,특급Ⅱ,蓂,"[[['명협'], ['명']]]",艸,10,14
명,특급Ⅱ,茗,"[[['차싹'], ['명']]]",艸,6,10
모,특급Ⅱ,芼,"[[['나물'], ['모']]]",艸,4,8
모,특급Ⅱ,眸,"[[['눈동자'], ['모']]]",目,6,11
모,특급Ⅱ,瑁,"[[['대모'], ['모']]]",玉,9,13
모,특급Ⅱ,姆,"[[['여스승'], ['모']]]",女,5,8
모,특급Ⅱ,摹,"[[['모뜰'], ['모']]]",手,11,15
목,특급Ⅱ,鶩,"[[['집오리'], ['목']]]",鳥,9,20
몽,특급Ⅱ,朦,"[[['몽롱할'], ['몽']]]",月,14,18
묘,특급Ⅱ,竗,"[[['묘할[妙]'], ['묘']]]",立,4,9
묘,특급Ⅱ,錨,"[[['닻'], ['묘']]]",金,9,17
무,특급Ⅱ,楙,"[[['모과나무'], ['무']]]",木,9,13
무,특급Ⅱ,珷,"[[['옥돌'], ['무']]]",玉,7,11
무,특급Ⅱ,繆,"[[['얽을'], ['무']], [['어그러질'], ['류']]]",糸,11,17
무,특급Ⅱ,鵡,"[[['앵무새'], ['무']]]",鳥,7,18
무,특급Ⅱ,懋,"[[['힘쓸'], ['무']]]",心,13,17
무,특급Ⅱ,无,"[[['없을[無]'], ['무']]]",无,0,4
문,특급Ⅱ,吻,"[[['입술'], ['문']]]",口,4,7
문,특급Ⅱ,刎,"[[['목자를'], ['문']]]",刀,4,6
문,특급Ⅱ,們,"[[['무리'], ['문']]]",人,8,10
문,특급Ⅱ,雯,"[[['구름무늬'], ['문']]]",雨,4,12
물,특급Ⅱ,沕,"[[['아득할'], ['물']]]",水,4,7
미,특급Ⅱ,湄,"[[['물가'], ['미']]]",水,9,12
미,특급Ⅱ,謎,"[[['수수께끼'], ['미']]]",言,10,17
미,특급Ⅱ,渼,"[[['물놀이'], ['미']]]",水,9,12
미,특급Ⅱ,楣,"[[['인중방'], ['미']]]",木,9,13
미,특급Ⅱ,黴,"[[['기미낄'], ['미']]]",黑,11,23
미,특급Ⅱ,梶,"[[['나무끝'], ['미']]]",木,7,11
미,특급Ⅱ,嵋,"[[['산이름'], ['미']]]",山,9,12
민,특급Ⅱ,泯,"[[['빠질'], ['민']]]",水,5,8
민,특급Ⅱ,岷,"[[['산이름'], ['민']]]",山,5,8
민,특급Ⅱ,愍,"[[['슬퍼할'], ['민']]]",心,9,13
민,특급Ⅱ,緡,"[[['돈꿰미'], ['민']]]",糸,9,15
박,특급Ⅱ,璞,"[[['옥덩어리'], ['박']]]",玉,12,16
박,특급Ⅱ,雹,"[[['우박'], ['박']]]",雨,5,13
반,특급Ⅱ,瘢,"[[['흉터'], ['반']]]",疒,10,15
